base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
run_0080_Aligned.out_sorted__run_0066_Aligned.out_sorted	run_0080_Aligned.out_sorted__run_0066_Aligned.out_sorted_Unique_RNA.tab.rc	run_0080_Aligned.out_sorted__run_0066_Aligned.out_sorted_Other.tab.rc	run_0080_Aligned.out_sorted__run_0066_Aligned.out_sorted_Unique_RNAfiltered_run_0080_Aligned.out_sorted__run_0066_Aligned.out_sorted_Unique_RNA.tab.rc	223677	136435	215045	131576	408074	537326
run_0081_Aligned.out_sorted__run_0020_Aligned.out_sorted	run_0081_Aligned.out_sorted__run_0020_Aligned.out_sorted_Unique_RNA.tab.rc	run_0081_Aligned.out_sorted__run_0020_Aligned.out_sorted_Other.tab.rc	run_0081_Aligned.out_sorted__run_0020_Aligned.out_sorted_Unique_RNAfiltered_run_0081_Aligned.out_sorted__run_0020_Aligned.out_sorted_Unique_RNA.tab.rc	232641	130538	225300	128241	398895	572206
run_0082_Aligned.out_sorted__run_0072_Aligned.out_sorted	run_0082_Aligned.out_sorted__run_0072_Aligned.out_sorted_Unique_RNA.tab.rc	run_0082_Aligned.out_sorted__run_0072_Aligned.out_sorted_Other.tab.rc	run_0082_Aligned.out_sorted__run_0072_Aligned.out_sorted_Unique_RNAfiltered_run_0082_Aligned.out_sorted__run_0072_Aligned.out_sorted_Unique_RNA.tab.rc	246475	139563	235183	134722	425911	568336
run_0083_Aligned.out_sorted__run_0024_Aligned.out_sorted	run_0083_Aligned.out_sorted__run_0024_Aligned.out_sorted_Unique_RNA.tab.rc	run_0083_Aligned.out_sorted__run_0024_Aligned.out_sorted_Other.tab.rc	run_0083_Aligned.out_sorted__run_0024_Aligned.out_sorted_Unique_RNAfiltered_run_0083_Aligned.out_sorted__run_0024_Aligned.out_sorted_Unique_RNA.tab.rc	230985	130380	223855	128076	398895	568330
run_0084_Aligned.out_sorted__run_0029_Aligned.out_sorted	run_0084_Aligned.out_sorted__run_0029_Aligned.out_sorted_Unique_RNA.tab.rc	run_0084_Aligned.out_sorted__run_0029_Aligned.out_sorted_Other.tab.rc	run_0084_Aligned.out_sorted__run_0029_Aligned.out_sorted_Unique_RNAfiltered_run_0084_Aligned.out_sorted__run_0029_Aligned.out_sorted_Unique_RNA.tab.rc	233055	142717	224214	137763	424865	538033
run_0085_Aligned.out_sorted__run_0085_Aligned.out_sorted	run_0085_Aligned.out_sorted__run_0085_Aligned.out_sorted_Unique_RNA.tab.rc	run_0085_Aligned.out_sorted__run_0085_Aligned.out_sorted_Other.tab.rc	run_0085_Aligned.out_sorted__run_0085_Aligned.out_sorted_Unique_RNAfiltered_run_0085_Aligned.out_sorted__run_0085_Aligned.out_sorted_Unique_RNA.tab.rc	219005	133589	213972	131227	398896	538029
run_0086_Aligned.out_sorted__run_0028_Aligned.out_sorted	run_0086_Aligned.out_sorted__run_0028_Aligned.out_sorted_Unique_RNA.tab.rc	run_0086_Aligned.out_sorted__run_0028_Aligned.out_sorted_Other.tab.rc	run_0086_Aligned.out_sorted__run_0028_Aligned.out_sorted_Unique_RNAfiltered_run_0086_Aligned.out_sorted__run_0028_Aligned.out_sorted_Unique_RNA.tab.rc	246397	139839	235001	134937	425188	569085
run_0087_Aligned.out_sorted__run_0063_Aligned.out_sorted	run_0087_Aligned.out_sorted__run_0063_Aligned.out_sorted_Unique_RNA.tab.rc	run_0087_Aligned.out_sorted__run_0063_Aligned.out_sorted_Other.tab.rc	run_0087_Aligned.out_sorted__run_0063_Aligned.out_sorted_Unique_RNAfiltered_run_0087_Aligned.out_sorted__run_0063_Aligned.out_sorted_Unique_RNA.tab.rc	245870	139763	234689	134920	425024	567996
run_0088_Aligned.out_sorted__run_0095_Aligned.out_sorted	run_0088_Aligned.out_sorted__run_0095_Aligned.out_sorted_Unique_RNA.tab.rc	run_0088_Aligned.out_sorted__run_0095_Aligned.out_sorted_Other.tab.rc	run_0088_Aligned.out_sorted__run_0095_Aligned.out_sorted_Unique_RNAfiltered_run_0088_Aligned.out_sorted__run_0095_Aligned.out_sorted_Unique_RNA.tab.rc	231280	130860	224127	128550	398895	569038
run_0089_Aligned.out_sorted__run_0045_Aligned.out_sorted	run_0089_Aligned.out_sorted__run_0045_Aligned.out_sorted_Unique_RNA.tab.rc	run_0089_Aligned.out_sorted__run_0045_Aligned.out_sorted_Other.tab.rc	run_0089_Aligned.out_sorted__run_0045_Aligned.out_sorted_Unique_RNAfiltered_run_0089_Aligned.out_sorted__run_0045_Aligned.out_sorted_Unique_RNA.tab.rc	235596	133472	224561	128698	406306	569040
