base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
dna_output_202_rna_output_202	dna_output_202_rna_output_202_Unique_RNA.tab.rc	dna_output_202_rna_output_202_Other.tab.rc	dna_output_202_rna_output_202_Unique_RNAfiltered_dna_output_202_rna_output_202_Unique_RNA.tab.rc	116593	33502	116559	33494	178159	646325
dna_output_203_rna_output_203	dna_output_203_rna_output_203_Unique_RNA.tab.rc	dna_output_203_rna_output_203_Other.tab.rc	dna_output_203_rna_output_203_Unique_RNAfiltered_dna_output_203_rna_output_203_Unique_RNA.tab.rc	116747	33552	116608	33512	178416	646325
dna_output_204_rna_output_204	dna_output_204_rna_output_204_Unique_RNA.tab.rc	dna_output_204_rna_output_204_Other.tab.rc	dna_output_204_rna_output_204_Unique_RNAfiltered_dna_output_204_rna_output_204_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646383
dna_output_205_rna_output_205	dna_output_205_rna_output_205_Unique_RNA.tab.rc	dna_output_205_rna_output_205_Other.tab.rc	dna_output_205_rna_output_205_Unique_RNAfiltered_dna_output_205_rna_output_205_Unique_RNA.tab.rc	116748	33551	116609	33511	178416	646343
dna_output_206_rna_output_206	dna_output_206_rna_output_206_Unique_RNA.tab.rc	dna_output_206_rna_output_206_Other.tab.rc	dna_output_206_rna_output_206_Unique_RNAfiltered_dna_output_206_rna_output_206_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646374
dna_output_207_rna_output_207	dna_output_207_rna_output_207_Unique_RNA.tab.rc	dna_output_207_rna_output_207_Other.tab.rc	dna_output_207_rna_output_207_Unique_RNAfiltered_dna_output_207_rna_output_207_Unique_RNA.tab.rc	116772	33561	116658	33532	178457	646325
dna_output_208_rna_output_208	dna_output_208_rna_output_208_Unique_RNA.tab.rc	dna_output_208_rna_output_208_Other.tab.rc	dna_output_208_rna_output_208_Unique_RNAfiltered_dna_output_208_rna_output_208_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646383
dna_output_209_rna_output_209	dna_output_209_rna_output_209_Unique_RNA.tab.rc	dna_output_209_rna_output_209_Other.tab.rc	dna_output_209_rna_output_209_Unique_RNAfiltered_dna_output_209_rna_output_209_Unique_RNA.tab.rc	116594	33501	116560	33493	178159	646343
dna_output_20_rna_output_20	dna_output_20_rna_output_20_Unique_RNA.tab.rc	dna_output_20_rna_output_20_Other.tab.rc	dna_output_20_rna_output_20_Unique_RNAfiltered_dna_output_20_rna_output_20_Unique_RNA.tab.rc	116778	33563	116663	33534	178457	646383
dna_output_210_rna_output_210	dna_output_210_rna_output_210_Unique_RNA.tab.rc	dna_output_210_rna_output_210_Other.tab.rc	dna_output_210_rna_output_210_Unique_RNAfiltered_dna_output_210_rna_output_210_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646383
dna_output_211_rna_output_211	dna_output_211_rna_output_211_Unique_RNA.tab.rc	dna_output_211_rna_output_211_Other.tab.rc	dna_output_211_rna_output_211_Unique_RNAfiltered_dna_output_211_rna_output_211_Unique_RNA.tab.rc	116747	33552	116608	33512	178416	646325
